M01,M02,M03,M04,M05,M06,M07,M08,M09,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083,M084,M085,M086,M087,M088,M089,M090,M091,M092,M093,M094,M095,M096,M097,M098,M099,M0100
gene  13,0,12.9389535960178,0,17.381568873507,11.7001243681882,0,0,16.0601429535894,0,0,16.6768588174558,13.3270191078528,9.24312945834845,0,16.5563553536165,0,8.69295280148391,20.4418346949327,9.46050116243895,0,6.06698457736643,12.6385757715809,16.6787757005825,0,13.1049297013857,0,12.9112548053452,0,0,0,7.6630350040761,0,8.4781059335937,14.5042744151716,11.4800391091111,0,0,0,14.2703671335338,0,0,15.8899309529652,10.604225087213,0,0,8.58959638735503,0,0,16.3129355961336,18.4269688680552,0,0,9.64882392178211,0,0,0,0,10.9275247160737,0,8.3904445830267,0,0,0,0,14.3321500015591,0,0,0,0,18.2930434553982,0,4.50611954461789,0,10.6435445321057,0,0,11.9308896468916,0,9.63188351738535,17.5151708854455,0,15.0812797318901,0,13.5629282834674,7.28080202028544,14.8147373549571,0,15.5021126178302,13.2238849541489,16.1753318735681,0,0,18.7695663353593,0,17.08966398639,0,12.7463572265046,0,18.3514888714947,15.8351135826745
gene  14,28.2537210814472,0,26.7583362343076,26.0239950302812,0,26.1710995433908,0,0,0,26.9645938309352,0,0,0,0,0,25.2170392555387,23.4375804234176,0,27.3472801451388,0,26.2210710961683,27.006177571695,30.4735821866548,0,0,0,0,27.6080634252664,29.1262528256306,0,0,26.7219736356654,0,21.6311192596474,0,0,18.8247843460212,25.1825424093641,0,0,0,28.3687678065899,0,0,0,27.1514053624813,0,24.8399704656739,0,23.977491735495,0,22.8145032883716,0,25.5938303393945,0,0,21.6561014928957,24.3308495891423,0,25.1713337490802,25.4901071144472,0,0,26.6461875214349,0,0,23.3742776086618,23.5565072705987,23.8077944246017,0,26.2144135663917,24.1417697993164,0,0,24.1457680539581,0,30.2271053132653,0,27.8630091995442,30.4827499091451,0,23.345098077554,0,0,22.5406588140545,30.3692084609626,21.5908988342331,0,0,0,24.7192712572887,21.7793977769048,25.5028064782966,29.0333390868157,22.6667446838602,26.4386016270558,25.4927144530092,0,0,0
gene  15,0,0,5.06268683560428,0,11.7001243681882,0,14.5409686375849,0,7.87615048944837,20.8841172120552,0,0,15.3525057161844,13.1376607480553,0,13.3021675624978,0,14.7528233134443,21.9666034407816,12.3552551202991,0,0,20.5528284170299,5.5002250636476,0,0,16.9843022116626,12.9202513232584,0,0,9.66967357346237,18.4047953387421,0,15.1046452794872,20.6168753477012,4.58882816384233,20.0921773902418,0,0,0,18.8846424473052,18.6880089007807,17.8427348194682,0,14.1823845827778,18.8641169334085,11.6850137675794,0,16.9048759552745,0,5.58218980245513,0,0,21.5625239058646,0,0,0,0,0,17.5855602743093,0,0,12.2415964631569,5.04146825880942,17.6611416279727,0,7.88167824984389,0,18.2965545987347,18.9568351223828,0,0,12.1224021636326,15.9653167981585,20.5140070078748,0,0,16.1372879933544,0,5.27259181569954,12.1399123724855,0,13.2737192140917,15.640007648379,18.77647433228,0,0,16.2454642970565,10.2349699995322,14.8216801385564,17.3065680484134,0,16.2768642983782,0,0,0,9.86192815017514,19.2288263550999,0,0
gene  16,0,0,34.2651976819913,32.6404615618728,0,0,36.5138413043377,33.2309673458916,31.5046019577935,0,34.7074122176387,31.293591677312,0,31.1754108996127,33.4635282723291,0,0,0,0,34.026154389217,0,0,37.4513903954245,36.2187757896461,0,0,30.8323807517094,37.2429078567565,37.3480693195755,29.639267063116,32.6587785856907,0,31.2262300366803,0,0,31.0580348476125,31.8720177286094,0,27.7757659619359,0,32.5161761715593,34.05235720722,34.8098432926871,0,33.404664798427,0,0,34.0856086991837,0,33.3108553830296,34.770448175428,0,33.7162939937599,0,36.6202283600222,0,33.023104588331,33.6003617152492,0,0,0,39.4513565928771,35.3986345928667,0,37.0022270810576,36.3833270653363,0,33.194003088447,32.461162807709,0,0,0,34.9091122314829,34.6330010293767,33.1014925377321,33.7341134751959,32.9337226812596,0,0,0,0,33.7531382801707,0,32.8104769452496,0,0,30.424220125383,33.8938841400395,0,35.939920391466,36.3309824965628,36.1474535962209,0,0,0,37.2350049898333,33.7548655175761,0,36.5754220354185,33.0377448930643
gene  17,0,0,0,31.8006232096726,34.8036096139355,0,32.8435103385306,31.2572622380505,33.7634750518833,0,32.6908553195746,29.9478864475756,33.1824146090904,0,0,32.0698751962814,31.8636572065261,0,33.9627691461461,33.4576558917066,0,33.9438175975671,40.6697394131369,35.7943351890923,0,31.7031347276881,0,0,38.5955982360166,33.9855361572848,0,0,31.8594496970326,31.0828747386595,34.5533411228578,31.1784068843646,0,0,32.140829490001,0,31.7014087988184,0,31.812675261639,34.7464891761408,0,0,32.1690913927852,33.6100055282148,0,34.3021493406339,0,0,32.588360059911,32.2830638990298,0,0,31.9267560780265,0,33.3496823491579,34.1948172334468,35.1836533499535,36.0334443656396,34.0552127478996,35.8374004158177,0,34.5171200182689,0,32.5575940935382,0,0,37.1395579181481,30.1929823714496,0,0,32.900343126688,0,35.1745545249856,35.8053810431635,0,36.4172148263375,35.9320868532354,34.2212079379365,0,0,35.3733145304184,0,0,34.6603301623093,32.0317164001689,34.2352819611039,32.3587969414917,33.0188239909795,35.3088300800757,35.6421975331072,32.8098430675904,35.532261927549,35.5013256847897,34.0519371615469,0,32.0709484161246
gene  18,12.6909187145569,0,8.02416878732743,0,0,0,0,0,0,0,0,0,0,0,4.98395958031051,9.47665537975385,0,0,0,0,0,0,0,0,4.66807014617895,0,0,0,0,0,0,0,0,10.1380527508633,0,9.17765632768466,0,0,0,0,0,0,4.56699116159641,0,7.49284924483621,0,10.0649230209226,0,7.47388416561209,0,5.58218980245513,0,0,0,0,0,0,0,0,0,0,6.60021901229229,0,0,0,4.87749320932616,0,0,0,0,0,0,0,0,0,4.73864204389183,0,0,0,0,0,0,0,4.52097609448913,0,0,4.44441813500055,4.89037204690228,0,0,4.67689500887405,7.63105028736536,0,0,0,0,0,0,0,0
gene  19,0,0,18.1495424585359,0,0,0,0,8.95972716610497,0,0,9.64138659519164,0,0,0,0,0,15.5819549069293,17.2218375257925,0,12.3552551202991,0,0,0,15.4410839048557,0,0,13.5303706108538,20.4301018559073,5.7251037962318,0,0,4.71085506193333,15.1968459245374,6.92029760776496,0,15.8747372424894,11.1878729602395,0,0,19.5686243166594,0,0,0,0,0,0,17.4094564688649,4.47197283704833,17.9535665051283,0,8.84756150879942,0,0,0,17.0145549761452,0,17.0780514051795,0,8.66176051494593,12.2917791411853,18.9084618845095,18.529157330817,8.35618957614862,18.6556493826461,13.1967889124568,0,0,13.6129549907521,12.4222481219498,14.8449431135613,0,0,0,14.9401035651731,0,7.5105699439092,0,5.09074756847935,6.07704189405292,13.6294521251926,0,11.672549038777,13.2737192140917,15.640007648379,15.259856793769,0,0,0,0,9.35143899733433,0,0,14.0250279468782,0,15.8357681334614,0,0,0,0,0
gene  20,29.5669203568661,31.9188596436142,0,28.0752005790293,0,0,0,28.6367100336185,28.1879701338046,0,30.119342287922,0,29.0483932033672,26.9310971141277,0,0,28.2166862802805,28.5256683820409,28.7952246429764,0,0,0,0,31.6531764778719,0,0,0,28.6294953261189,25.8978617271117,28.0874080539114,0,0,0,23.6922747282529,0,24.900196530842,0,32.7447520629645,29.0790667381625,0,29.6842429564586,0,26.976717142661,0,27.6933797838342,0,28.5462622044369,25.3669320494812,30.6874789102618,22.7493517482596,0,0,28.3802934889939,0,0,33.2069553803167,24.4133472256753,29.0370783221228,26.7212063788354,30.0285782543833,0,0,0,26.2632937885662,32.2748011101451,0,0,0,0,0,0,24.1417697993164,28.5027886142114,0,0,27.1425646900612,0,28.8768855170221,0,0,0,0,0,0,28.060573790003,29.9340460825374,0,27.012272989234,0,0,0,0,0,0,29.6930354031061,31.2617458344011,0,0,31.4611971699895,26.4778595017589
gene  21,20.0674704768862,0,0,0,21.4051762945525,22.1300206826382,0,0,0,26.2295746035495,16.6768588174558,0,0,14.5474547800213,0,0,18.463516689245,0,20.7767620419997,0,0,21.1310669656985,0,19.0276524948038,15.5069933674968,21.8313407824778,20.5460563842956,21.2321420760895,24.3198259333334,21.1929894878441,20.1609067948835,0,19.1756187303128,17.8467688095223,0,18.7566646045885,0,19.6930373377639,16.1387827857015,0,20.1957521075425,23.237403212369,0,17.7800293506611,0,18.8641169334085,0,0,19.2744142481912,0,0,19.5338034933576,23.436901618675,0,0,17.8373384115089,0,0,18.7177530603654,0,0,20.9221992620602,0,0,24.2747222255737,16.8733542280315,16.5192352507433,17.3835993384415,0,13.6689596931226,16.6110645741993,0,19.3193831214492,0,17.2826412582314,17.5350592292707,26.3560744097092,0,0,26.1214549195147,21.2442717225958,21.7267355267037,19.7310810534114,0,25.7921501346249,21.1084636838135,20.1046007922983,0,18.0173794556843,23.787549205579,0,18.8103368936225,22.1770259972317,0,26.1798900434831,0,0,19.9837071791145,20.7251558033974,0
gene  22,7.78140118344516,0,0,0,0,0,0,0,0,0,7.64061810416719,4.44233970261759,9.24312945834845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16314759683766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene  23,0,25.2075670934901,0,24.4586231302382,22.4709389857391,0,22.2843598066177,19.3616482808573,0,22.7071155252691,21.4975521150518,17.355735206655,18.8904740989328,0,18.9757030394314,16.9867270843374,0,0,26.4182721151253,23.4532938637315,25.2988706725253,0,0,11.0004501272952,25.330184506688,0,24.7945247366081,0,0,21.1929894878441,0,17.4322351775842,0,19.4708669437956,0,0,0,0,18.0071984378693,0,21.5338046426395,0,0,20.910937105066,20.0819138918066,0,22.1041683718627,0,25.4274506707403,18.9087050852797,22.3287592098204,0,0,22.2518294540364,0,22.0019985079571,0,0,19.0226008108671,23.6072549671989,0,0,0,18.6556493826461,25.2922365105135,0,23.9059439647446,0,14.4167446744208,17.5659419507243,0,17.156396427581,24.2448043272652,21.2870890642113,0,0,0,16.1372879933544,20.1874962016619,24.4851581394919,0,0,0,24.0603096935758,24.1072714495179,24.19537860953,17.7776725400021,0,21.4137939296696,21.1509068413647,21.4433882354975,0,25.195805674049,0,0,0,19.2647371722431,0,0,26.9033829922179
gene  24,20.0674704768862,0,21.8805684704145,0,0,0,0,23.6778809220658,20.3118196443561,0,0,16.4386102770413,0,24.4577808750284,23.4268015649014,24.8664002514167,17.3859056029678,0,21.6880215339058,19.1186605095465,18.2009537320993,19.1018371872318,22.6198754772926,22.4819655661733,22.9057094999264,20.2265456152943,0,18.4956691447602,17.1753113886954,0,0,24.7222258913649,0,0,27.7601570602815,15.2437572000782,0,23.1608090772012,18.400938622453,20.8157379841884,19.5730299050175,0,0,0,24.8093754193992,22.2037845576427,21.7499367885019,0,10.9490423995347,0,0,0,0,26.6766840064709,20.9355408181292,23.7831178820117,14.5210257058555,17.9182831308424,0,21.175124532496,0,15.3252339570512,24.4831929263139,19.1946589895753,0,14.6324796279785,19.4281281846836,17.943552107806,0,0,0,0,0,30.3364419963094,16.1570300224551,0,0,0,25.3408089288237,0,27.3933465690704,0,0,20.994762820217,0,0,0,22.7101845003085,18.3808694955008,25.9716994008684,19.1166345612018,24.8914139293284,0,0,0,0,17.0583330317225,0,23.9964555012066,15.1105385223881
gene  25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9982354945783,0,0,0,0,0,0,0,4.58882816384233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59367462446127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene  26,0,37.4913636434185,0,0,34.8639393876342,0,34.8620532777083,31.9382153608864,34.499421276119,38.1641675486334,32.2335682757631,32.9899907619629,0,32.2587474038751,0,33.1146781671515,32.5979031574087,32.144652178187,0,34.1246646242467,0,0,0,38.2496448439157,33.5163192753776,0,30.8013718919167,0,0,0,34.4189181809751,34.9444280684251,30.221408324115,30.6125723360178,32.2536888851749,0,0,36.3355845938358,0,30.6670866237694,33.5554472881086,33.695773347519,33.4391808951951,36.7724053244691,35.067612381479,33.4754431835718,0,33.4674208733995,33.7623438960985,34.6525944974928,37.6321482650764,34.353209715473,0,33.6767192140056,37.5481601905238,33.7269901462549,34.4303373783758,32.3912924777555,0,0,0,0,34.39331870108,0,34.6869526914433,0,33.2505316363579,36.7431979373935,34.6923031070398,0,37.7314669351124,32.7870863916775,0,0,0,35.3475762916108,0,37.9740833748159,39.0526801366004,36.9081427098968,0,38.1679894771324,0,34.0138437487417,33.3812529333668,39.8258369080281,32.5015096256022,32.6994752697341,0,0,0,0,33.6901432664835,0,0,36.1191438308764,34.8955234750771,34.5291704559631,0,34.1779152149128
gene  27,0,0,0,0,0,0,0,0,0,0,9.64138659519164,0,0,0,0,0,10.0922056686477,13.0654230382105,0,0,9.61594304757938,0,0,0,0,4.76150912445717,0,0,0,0,0,9.42171012386665,10.9577929577406,0,12.7805295388805,0,0,5.92819494439767,10.4528549907752,0,12.7138722896461,11.1065851070931,7.23850973225526,0,13.271662388325,0,13.008724290865,8.94394567409666,0,7.67095667614821,0,0,14.4732358826732,9.06962526287052,10.2437828213871,0,0,0,0,0,0,15.3252339570512,0,10.0829365176188,13.1967889124568,11.3251885153567,0,0,11.1582148321185,0,0,14.2840610039721,0,8.43480947907161,0,0,0,13.1593915651566,0,15.8177754470986,0,0,11.4373554711764,7.16557757642206,0,5.2771159209534,0,4.89037204690228,10.2349699995322,7.41084006927818,0,9.62931335459766,0,0,0,0,0,0,19.0174013217307,0
gene  28,0,21.2165005318406,0,0,0,0,0,0,15.7523009788968,0,23.1747836519274,21.7980749092726,0,17.1091344082908,0,18.0404952523748,0,22.8366570005524,0,0,0,0,0,24.1587343762638,0,0,16.6484299239733,20.4301018559073,17.1753113886954,13.766134476461,0,0,21.1952648339843,16.1569400648146,0,18.3553126553693,0,0,0,0,21.2872230055705,0,21.208450174426,0,21.6752338276141,0,0,21.2637277528957,19.6632642260555,0,19.3112039038479,0,17.295335967825,17.7170168226011,0,15.3696169688078,0,19.2365350684825,23.5005028979608,19.5893179641581,0,18.529157330817,15.8165058902275,0,0,23.9333255589869,0,18.4619873962361,16.6245807881707,24.5561330429281,23.5612914280675,0,0,18.4103072443702,21.1269752923281,21.4355408731213,0,0,28.220908615218,25.3472202172039,22.0749532244525,0,0,21.7339366803471,0,0,0,0,19.0508933022981,22.2325202078346,0,19.6797302618367,15.2316450345719,0,24.2521450315657,0,0,0,20.1971419540571,19.0673766925246
