M01,M02,M03,M04,M05,M06,M07,M08,M09,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083,M084,M085,M086,M087,M088,M089,M090,M091,M092,M093,M094,M095,M096,M097,M098,M099,M0100
gene  13,0,0.698970004336019,0,1.14612803567824,0.698970004336019,0,0,1.07918124604762,0,0,1.04139268515822,0.903089986991944,0.602059991327962,0,1,0,0.602059991327962,1.32221929473392,0.602059991327962,0,0.301029995663981,0.778151250383644,0.845098040014257,0,0.845098040014257,0,0.954242509439325,0,0,0,0.477121254719662,0,0.602059991327962,1,0.698970004336019,0,0,0,0.954242509439325,0,0,1,0.698970004336019,0,0,0.602059991327962,0,0,1.04139268515822,1.14612803567824,0,0,0.602059991327962,0,0,0,0,0.698970004336019,0,0.477121254719662,0,0,0,0,0.845098040014257,0,0,0,0,1.04139268515822,0,0.301029995663981,0,0.602059991327962,0,0,0.698970004336019,0,0.477121254719662,1,0,0.903089986991944,0,0.903089986991944,0.477121254719662,0.845098040014257,0,0.954242509439325,0.903089986991944,1.04139268515822,0,0,1.04139268515822,0,1.07918124604762,0,0.778151250383644,0,1.04139268515822,1
gene  14,1.73239375982297,0,1.5910646070265,1.7160033436348,0,1.65321251377534,0,0,0,1.51851393987789,0,0,0,0,0,1.60205999132796,1.6232492903979,0,1.74036268949424,0,1.30102999566398,1.66275783168157,1.54406804435028,0,0,0,0,1.66275783168157,1.53147891704226,0,0,1.70757017609794,0,1.49136169383427,0,0,1.17609125905568,1.27875360095283,0,0,0,1.78532983501077,0,0,0,1.90308998699194,0,1.67209785793572,0,1.49136169383427,0,1.30102999566398,0,1.69897000433602,0,0,1.49136169383427,1.55630250076729,0,1.43136376415899,1.6232492903979,0,0,1.5910646070265,0,0,1.41497334797082,1.46239799789896,1.49136169383427,0,1.64345267648619,1.61278385671974,0,0,1.55630250076729,0,1.77085201164214,0,1.38021124171161,1.74036268949424,0,1.39794000867204,0,0,1.47712125471966,1.73239375982297,1.46239799789896,0,0,0,1.5910646070265,1.36172783601759,1.41497334797082,1.7481880270062,1.43136376415899,1.49136169383427,1.55630250076729,0,0,0
gene  15,0,0,0.301029995663981,0,0.698970004336019,0,0.954242509439325,0,0.477121254719662,1.17609125905568,0,0,1,0.903089986991944,0,0.845098040014257,0,0.954242509439325,1.39794000867204,0.778151250383644,0,0,1.04139268515822,0.301029995663981,0,0,1.25527250510331,0.778151250383644,0,0,0.602059991327962,1.17609125905568,0,1.04139268515822,1.25527250510331,0.301029995663981,1.25527250510331,0,0,0,1.25527250510331,1.17609125905568,1.17609125905568,0,0.903089986991944,1.32221929473392,0.698970004336019,0,1.07918124604762,0,0.301029995663981,0,0,1.43136376415899,0,0,0,0,0,1,0,0,0.698970004336019,0.301029995663981,1.04139268515822,0,0.477121254719662,0,1.14612803567824,1.07918124604762,0,0,0.698970004336019,0.903089986991944,1.32221929473392,0,0,0.954242509439325,0,0.301029995663981,0.778151250383644,0,0.903089986991944,1.04139268515822,1.23044892137827,0,0,1,0.698970004336019,0.954242509439325,1.11394335230684,0,0.903089986991944,0,0,0,0.602059991327962,1.23044892137827,0,0
gene  16,0,0,2.03742649794062,2.15228834438306,0,0,2.39619934709574,2.23299611039215,1.90848501887865,0,2.16731733474818,2.12057393120585,0,2.14301480025409,2.02118929906994,0,0,0,0,2.14301480025409,0,0,1.89762709129044,1.98227123303957,0,0,2.27875360095283,2.24303804868629,1.96378782734556,1.81954393554187,2.03342375548695,0,2.21748394421391,0,0,2.03742649794062,1.99122607569249,0,1.85733249643127,0,2.16136800223497,2.14301480025409,2.29446622616159,0,2.12710479836481,0,0,2.29446622616159,0,2.07188200730613,1.8750612633917,0,2.10380372095596,0,2.15228834438306,0,2.27415784926368,2.14921911265538,0,0,0,1.79934054945358,2.02118929906994,0,2.18184358794477,2.24551266781415,0,2.06069784035361,2.03342375548695,0,0,0,2.01283722470517,1.95904139232109,2.13353890837022,2.14301480025409,1.92941892571429,0,0,0,0,2.02118929906994,0,2.1846914308176,0,0,2.06069784035361,2.08635983067475,0,2.31386722036915,2.3384564936046,2.26007138798507,0,0,0,2.10037054511756,2.06069784035361,0,2.07554696139253,2.08635983067475
gene  17,0,0,0,2.09691001300806,2.07918124604762,0,2.15533603746506,2.10037054511756,2.04532297878666,0,2.04139268515822,2.02938377768521,2.16136800223497,0,0,2.03742649794062,2.20682587603185,0,2.16136800223497,2.10720996964787,0,2.0899051114394,2.06069784035361,1.95904139232109,0,2.00432137378264,0,0,2.02938377768521,2.08635983067475,0,0,2.26245108973043,2.14301480025409,2.10380372095596,2.04532297878666,0,0,2.14921911265538,0,2.10720996964787,0,2.09691001300806,1.95424250943932,0,0,1.92427928606188,2.26245108973043,0,2.13353890837022,0,0,2.03342375548695,2.14301480025409,0,0,2.19865708695442,0,2.31806333496276,1.94448267215017,2.2405492482826,1.64345267648619,1.94448267215017,2.13987908640124,0,2.13033376849501,0,2.02118929906994,0,0,2.32837960343874,2.01703333929878,0,0,2.12057393120585,0,2.06069784035361,2.11727129565576,0,2.07918124604762,2.30319605742049,2.04921802267018,0,0,2.31806333496276,0,0,2.13353890837022,2.18752072083646,2.20411998265593,2.08278537031645,2.06445798922692,1.95904139232109,2.14612803567824,2.07188200730613,2.00432137378264,2.16731733474818,2.17897694729317,0,2.02530586526477
gene  18,0.778151250383644,0,0.477121254719662,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0.602059991327962,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0.698970004336019,0,0.602059991327962,0,0,0,0,0,0,0.301029995663981,0,0.477121254719662,0,0.602059991327962,0,0.477121254719662,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0.301029995663981,0,0,0.301029995663981,0.301029995663981,0,0,0.301029995663981,0.477121254719662,0,0,0,0,0,0,0,0
gene  19,0,0,1.07918124604762,0,0,0,0,0.602059991327962,0,0,0.602059991327962,0,0,0,0,0,1.07918124604762,1.11394335230684,0,0.778151250383644,0,0,0,0.845098040014257,0,0,1,1.23044892137827,0.301029995663981,0,0,0.301029995663981,1.07918124604762,0.477121254719662,0,1.04139268515822,0.698970004336019,0,0,1.41497334797082,0,0,0,0,0,0,1.04139268515822,0.301029995663981,1.14612803567824,0,0.477121254719662,0,0,0,1,0,1.17609125905568,0,0.602059991327962,0.698970004336019,1.20411998265592,0.845098040014257,0.477121254719662,1.11394335230684,0.778151250383644,0,0,0.845098040014257,0.778151250383644,0.845098040014257,0,0,0,0.845098040014257,0,0.477121254719662,0,0.301029995663981,0.301029995663981,0.778151250383644,0,0.698970004336019,0.903089986991944,1.04139268515822,1,0,0,0,0,0.602059991327962,0,0,0.778151250383644,0,1,0,0,0,0,0
gene  20,1.81291335664286,1.72427586960079,0,1.85125834871908,0,0,0,1.92427928606188,1.70757017609794,0,1.88081359228079,0,1.89209460269048,1.85125834871908,0,0,1.95424250943932,1.84509804001426,1.83250891270624,0,0,0,0,1.73239375982297,0,0,0,1.72427586960079,1.36172783601759,1.72427586960079,0,0,0,1.63346845557959,0,1.63346845557959,0,1.66275783168157,1.94448267215017,0,1.9731278535997,0,1.77815125038364,0,1.76342799356294,0,1.70757017609794,1.70757017609794,1.95904139232109,1.41497334797082,0,0,1.77085201164214,0,0,1.68124123737559,1.68124123737559,1.85733249643127,1.85733249643127,1.70757017609794,0,0,0,1.56820172406699,1.90308998699194,0,0,0,0,0,0,1.61278385671974,1.64345267648619,0,0,1.72427586960079,0,1.70757017609794,0,0,0,0,0,0,1.83884909073726,1.70757017609794,0,1.66275783168157,0,0,0,0,0,0,1.8750612633917,1.76342799356294,0,0,1.78532983501077,1.67209785793572
gene  21,1.23044892137827,0,0,0,1.27875360095283,1.39794000867204,0,0,0,1.47712125471966,1.04139268515822,0,0,1,0,0,1.27875360095283,0,1.32221929473392,0,0,1.30102999566398,0,1.04139268515822,1,1.38021124171161,1.51851393987789,1.27875360095283,1.27875360095283,1.30102999566398,1.25527250510331,0,1.36172783601759,1.23044892137827,0,1.23044892137827,0,1,1.07918124604762,0,1.34242268082221,1.46239799789896,0,1,0,1.32221929473392,0,0,1.23044892137827,0,0,1.11394335230684,1.46239799789896,0,0,0.903089986991944,0,0,1.30102999566398,0,0,0.954242509439325,0,0,1.43136376415899,1.04139268515822,1,1.07918124604762,0,0.778151250383644,1.04139268515822,0,1.11394335230684,0,1.11394335230684,1.11394335230684,1.54406804435028,0,0,1.49136169383427,1.36172783601759,1.30102999566398,1.34242268082221,0,1.69019608002851,1.20411998265592,1.36172783601759,0,1.23044892137827,1.53147891704226,0,1.17609125905568,1.23044892137827,0,1.65321251377534,0,0,1.27875360095283,1.17609125905568,0
gene  22,0.477121254719662,0,0,0,0,0,0,0,0,0,0.477121254719662,0.301029995663981,0.602059991327962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene  23,0,1.36172783601759,0,1.61278385671974,1.34242268082221,0,1.46239799789896,1.30102999566398,0,1.27875360095283,1.34242268082221,1.17609125905568,1.23044892137827,0,1.14612803567824,1.07918124604762,0,0,1.68124123737559,1.47712125471966,1.25527250510331,0,0,0.602059991327962,1.63346845557959,0,1.83250891270624,0,0,1.30102999566398,0,1.11394335230684,0,1.34242268082221,0,0,0,0,1.20411998265592,0,1.43136376415899,0,0,1.17609125905568,1.27875360095283,0,1.32221929473392,0,1.6232492903979,1.17609125905568,1.20411998265592,0,0,1.47712125471966,0,1.11394335230684,0,0,1.32221929473392,1.34242268082221,0,0,0,1.11394335230684,1.49136169383427,0,1.44715803134222,0,0.903089986991944,1,0,1.14612803567824,1.39794000867204,1.20411998265592,0,0,0,0.954242509439325,1,1.39794000867204,0,0,0,1.60205999132796,1.57978359661681,1.38021124171161,1.20411998265592,0,1.46239799789896,1.36172783601759,1.38021124171161,0,1.39794000867204,0,0,0,1.17609125905568,0,0,1.69897000433602
gene  24,1.23044892137827,0,1.30102999566398,0,0,0,0,1.5910646070265,1.23044892137827,0,0,1.11394335230684,0,1.68124123737559,1.41497334797082,1.57978359661681,1.20411998265592,0,1.38021124171161,1.20411998265592,0.903089986991944,1.17609125905568,1.14612803567824,1.23044892137827,1.47712125471966,1.27875360095283,0,1.11394335230684,0.903089986991944,0,0,1.57978359661681,0,0,1.69019608002851,1,0,1.17609125905568,1.23044892137827,1.50514997831991,1.30102999566398,0,0,0,1.57978359661681,1.55630250076729,1.30102999566398,0,0.698970004336019,0,0,0,0,1.77085201164214,1.23044892137827,1.20411998265592,1,1.14612803567824,0,1.20411998265592,0,0.698970004336019,1.39794000867204,1.14612803567824,0,0.903089986991944,1.17609125905568,1.11394335230684,0,0,0,0,0,1.7160033436348,1.04139268515822,0,0,0,1.25527250510331,0,1.75587485567249,0,0,1.39794000867204,0,0,0,1.39794000867204,1.25527250510331,1.67209785793572,1.23044892137827,1.55630250076729,0,0,0,0,1.04139268515822,0,1.36172783601759,0.954242509439325
gene  25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene  26,0,2.02530586526477,0,0,2.08278537031645,0,2.28780172993023,2.14612803567824,2.0899051114394,2.14921911265538,2.01283722470517,2.23552844690755,0,2.21748394421391,0,2.10380372095596,2.25767857486918,2.07918124604762,0,2.14921911265538,0,0,0,2.09342168516224,2.16136800223497,0,2.27646180417324,0,0,0,2.14301480025409,2.23299611039215,2.14612803567824,2.11058971029925,1.96378782734556,0,0,1.84509804001426,0,2.21748394421391,2.23044892137827,2.12057393120585,2.20411998265593,2.06818586174616,2.23299611039215,2.34635297445064,0,2.25285303097989,2.15533603746506,2.15533603746506,2.02938377768521,1.95904139232109,0,2.23552844690755,2.20682587603185,1.70757017609794,2.37106786227174,2.07188200730613,0,0,0,0,1.96378782734556,0,2.04532297878666,0,2.01283722470517,2.28103336724773,2.17318626841227,0,2.3654879848909,2.19033169817029,0,0,0,2.24551266781415,0,2.24551266781415,1.93449845124357,2.10720996964787,0,2.28555730900777,0,2.26481782300954,2.18752072083646,2.2718416065365,2.20139712432045,2.01283722470517,0,0,0,0,1.86923171973098,0,0,2.03742649794062,2.13033376849501,2.20951501454263,0,2.15836249209525
gene  27,0,0,0,0,0,0,0,0,0,0,0.602059991327962,0,0,0,0,0,0.698970004336019,0.845098040014257,0,0,0.477121254719662,0,0,0,0,0.301029995663981,0,0,0,0,0,0.602059991327962,0.778151250383644,0,0.778151250383644,0,0,0.301029995663981,0.698970004336019,0,0.845098040014257,0.698970004336019,0.477121254719662,0,0.845098040014257,0,0.778151250383644,0.602059991327962,0,0.477121254719662,0,0,0.903089986991944,0.602059991327962,0.602059991327962,0,0,0,0,0,0,0.698970004336019,0,0.602059991327962,0.778151250383644,0.698970004336019,0,0,0.698970004336019,0,0,0.954242509439325,0,0.477121254719662,0,0,0,0.778151250383644,0,0.903089986991944,0,0,0.778151250383644,0.477121254719662,0,0.301029995663981,0,0.301029995663981,0.698970004336019,0.477121254719662,0,0.602059991327962,0,0,0,0,0,0,1.07918124604762,0
gene  28,0,1.14612803567824,0,0,0,0,0,0,0.954242509439325,0,1.44715803134222,1.47712125471966,0,1.17609125905568,0,1.14612803567824,0,1.47712125471966,0,0,0,0,0,1.32221929473392,0,0,1.23044892137827,1.23044892137827,0.903089986991944,0.845098040014257,0,0,1.50514997831991,1.11394335230684,0,1.20411998265592,0,0,0,0,1.41497334797082,0,1.39794000867204,0,1.38021124171161,0,0,1.43136376415899,1.25527250510331,0,1.04139268515822,0,1.07918124604762,1.17609125905568,0,0.778151250383644,0,1.23044892137827,1.63346845557959,1.11394335230684,0,0.845098040014257,0.903089986991944,0,0,1.47712125471966,0,1.14612803567824,1.04139268515822,1.39794000867204,1.47712125471966,0,0,1.04139268515822,1.36172783601759,1.36172783601759,0,0,1.39794000867204,1.44715803134222,1.41497334797082,0,0,1.44715803134222,0,0,0,0,1.30102999566398,1.43136376415899,0,1.23044892137827,0.845098040014257,0,1.53147891704226,0,0,0,1.14612803567824,1.20411998265592
